ID,Estacao,Municipios,X_coord,Y_coord,CHUVA
101,MG_01941004,MINAS GERAIS,-41.25,-19.34,1055.5
102,MG_01941010,MINAS GERAIS,-41.16,-19.49,1001.5
103,MG_01941019,MINAS GERAIS,-41.44,-19.81,1121
104,MG_02041005,MINAS GERAIS,-41.92,-20.69,1311.6
105,MG_02041008,MINAS GERAIS,-41.73,-20.11,1255.2
106,MG_02041048,MINAS GERAIS,-41.96,-20.18,1254.9
107,RJ_02041046,RIO DE JANEIRO,-41.85,-20.93,1461
108,RJ_02141001,RIO DE JANEIRO,-41.1,-21.48,847.5
109,RJ_02141003,RIO DE JANEIRO,-41.61,-21.49,936.7
110,BA_01739006,BAHIA,-39.66,-17.81,1415.2
